SCENE,KEY,SENTENCE,END_TIME,SPEAKER,SHOW,Sarcasm,Sarcasm_Type,Implicit_Emotion,Explicit_Emotion,Valence,Arousal
1_8746,1_8746_u,"I enjoyed it. When you told me I was going to be ""losing my virginity,"" I didn't think you meant showing me "" Raiders of the Lost Ark "" for the first time.",0:09,AMY,BBT,1.0,EMB,Frustration,Sadness,2.0,8.0
1_8749,1_8749_u,It was very entertaining... despite the glaring story problem.,0:06,AMY,BBT,1.0,EMB,Disgust,Happiness,4.0,7.0
1_8827,1_8827_u,How do you not tear off his clothes and take him right here on this table?,0:05,PENNY,BBT,1.0,PRO,Frustration,Neutral,3.0,8.0
1_9087,1_9087_u,"Why? Because I got an ugly, itchy sweater, and my brother got a car? No, I was her favorite.",0:07,LEONARD,BBT,1.0,PRO,Anger,Neutral,2.0,8.0
1_971,1_971_u,"- Now?! - No, after my tongue has swollen to the size of a brisket!",0:05,HOWARD,BBT,1.0,PRO,Anger,Neutral,3.0,7.0
1_9963,1_9963_u,What do you think I was gonna do at home?,0:03,PERSON,BBT,0.0,NONE,Excitement,Excitement,6.0,6.0
1_9971,1_9971_u,I was gonna say we pick up a cake or a pie. But an insult to her faith is always thoughtful.,0:07,HOWARD,BBT,1.0,PRO,Disgust,Happiness,3.0,7.0
1_9972,1_9972_u,"Ooh, I'm gonna check the fridge, and see if there are any clues inside a beer.",0:05,PENNY,BBT,1.0,PRO,Frustration,Happiness,3.0,7.0
1_9993,1_9993_u,"Well, my beer isn't flat and my rack's not saggy. So far, the future's great.",0:05,PENNY,BBT,1.0,PRO,Frustration,Happiness,4.0,7.0
1_S09E01_027,1_S09E01_027_u,Whatever. Put us on the Internet. I've always wanted a wedding with a comment section.,0:4.538,PENNY,BBT,1.0,ILL,Ridicule,Excitement,4.0,6.0
1_S09E01_379,1_S09E01_379_u,Oh. That's so sweet of you.,0:01.699000,PENNY,BBT,0.0,NONE,Happiness,Happiness,7.0,6.0
1_S09E01_403,1_S09E01_403_u,That's ridiculous.,0:01.566000,PENNY,BBT,0.0,NONE,Frustration,Frustration,3.0,8.0
1_S09E01_439,1_S09E01_439_u,I don't know. Sounds pretty bad. Penny's back in her apartment all by herself.,0:05.070000,HOWARD,BBT,0.0,NONE,Sadness,Sadness,2.0,4.0
1_S09E02_002,1_S09E02_002_u,"How am I supposed to sleep? I've been married less than 24 hours, and my wife isn't speaking to me.",0:05.137000,LEONARD,BBT,0.0,NONE,Sadness,Sadness,3.0,5.0
1_S09E02_064,1_S09E02_064_u,Because we're broken up.,0:02.100000,AMY,BBT,0.0,NONE,Frustration,Frustration,2.0,6.0
1_S09E02_215,1_S09E02_215_u,"Yeah, well, maybe she has interest in you.",0:01.500000,PENNY,BBT,0.0,NONE,Anger,Anger,3.0,6.0
1_S09E02_271,1_S09E02_271_u,"Dude, just because we're best friends doesn't mean that I have to tell you everything that goes on.",0:04.502000,HOWARD,BBT,0.0,NONE,Anger,Neutral,3.0,6.0
1_S09E02_371,1_S09E02_371_u,"Okay, that is the lamest excuse you could've possibly come up with.",0:04.269000,PENNY,BBT,0.0,NONE,Anger,Anger,3.0,6.0
1_S09E02_386,1_S09E02_386_u,That sounds nice.,0:02.767000,PENNY,BBT,0.0,NONE,Happiness,Happiness,6.0,6.0
1_S09E02_392,1_S09E02_392_u,"Oh. Oh, my God, that is the most beautiful thing anyone's ever said to me. Yeah?",0:05.504000,PENNY,BBT,0.0,NONE,Surprise,Surprise,7.0,8.0
1_S09E03_072,1_S09E03_072_u,India.,0:3.269999,LEONARD,BBT,1.0,PRO,Ridicule,Neutral,4.0,6.0
1_S09E03_120,1_S09E03_120_u,We don't have any of those.,0:02.868000,RAJ,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E03_125,1_S09E03_125_u,"If there was a hidden compartment, don't you think you'd be stuffed in it by now?",0:6.138999,LEONARD,BBT,1.0,EMB,Frustration,Happiness,3.0,7.0
1_S09E03_143,1_S09E03_143_u,"Fine, I guess. I've been focusing on me.",0:03.335000,AMY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E03_170,1_S09E03_170_u,"I've done it, like, a dozen times.",0:01.433000,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E03_233,1_S09E03_233_u,How long do you think you can keep it from him?,0:01.666000,AMY,BBT,0.0,NONE,Fear,Fear,2.0,4.0
1_S09E03_241,1_S09E03_241_u,Every self-respecting gentleman should know how in case he comes across a damsel in distress by the side of the road.,0:06.171000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E03_359,1_S09E03_359_u,"I'll bet there's something around here that could be a ""lehver.""",0:02.834000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E03_476,1_S09E03_476_u,We got a flat and couldn't get the tire off.,0:02.701000,LEONARD,BBT,0.0,NONE,Sadness,Sadness,2.0,6.0
1_S09E04_015,1_S09E04_015_u,"now that Leonard and I are married, it kind of makes sense that we actually live together.",0:04.569000,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E04_074,1_S09E04_074_u,How could Archie defeat Predator?,0:02.634000,HOWARD,BBT,0.0,NONE,Surprise,Surprise,6.0,7.0
1_S09E04_088,1_S09E04_088_u,"Well, it could be fun to try a little acoustic thing.",0:02.334000,HOWARD,BBT,0.0,NONE,Excitement,Excitement,6.0,7.0
1_S09E04_106,1_S09E04_106_u,Footprints on the Moon.,0:02.835000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E04_230,1_S09E04_230_u,"Well, it's Thai food night.",0:01.166000,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E04_267,1_S09E04_267_u,"No, of course not. I-I just feel bad. Well, so do I,",0:02.534000,LEONARD,BBT,0.0,NONE,Sadness,Sadness,3.0,6.0
1_S09E04_288,1_S09E04_288_u,You really should've gone on the Internet and checked how long that kind of thing lives,0:5.037999,AMY,BBT,1.0,PRO,Disgust,Neutral,3.0,7.0
1_S09E04_342,1_S09E04_342_u,Who cares? I thought the whole point of Footprints on the Moon was to write songs that make people think.,0:06.004000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E04_351,1_S09E04_351_u,I still love it. I just think there's room for improvement.,0:03.369000,RAJ,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E05_022,1_S09E05_022_u,What are you saying? We're not coordinated enough to play sports?,0:02.961000,LEONARD,BBT,0.0,NONE,Anger,Anger,2.0,4.0
1_S09E05_213,1_S09E05_213_u,"Why? You never thought you'd end up in a relationship, and then you met Amy. Maybe there's someone else out there for you.",0:04.922000,RAJ,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E05_222,1_S09E05_222_u,Whoa! Walking up to a strange woman in a bar usually doesn't work.,0:05.171000,RAJ,BBT,0.0,NONE,Disgust,Disgust,3.0,6.0
1_S09E05_284,1_S09E05_284_u,"Actually, he already did.",0:01.501000,AMY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E06_055,1_S09E06_055_u,Sounds like you on Cinco de Mayo.,0:3.37,HOWARD,BBT,1.0,PRO,Ridicule,Neutral,3.0,8.0
1_S09E06_168,1_S09E06_168_u,"Uh, he's Indian. We've already got one of those.",0:3.537000,RAJ,BBT,1.0,PRO,Ridicule,Neutral,2.0,8.0
1_S09E07_054,1_S09E07_054_u,And I'm laughing like I did the first time I heard it.,0:2.503,PENNY,BBT,1.0,ILL,Frustration,Neutral,3.0,6.0
1_S09E07_135,1_S09E07_135_u,When is your visa up?,0:2.085,HOWARD,BBT,1.0,ILL,Anger,Surprise,3.0,7.0
1_S09E07_285,1_S09E07_285_u,"Fine, I'll leave. But it sounds like somebody needs a fresh diaper.",0:7.340999,RAJ,BBT,1.0,ILL,Disgust,Neutral,3.0,8.0
1_S09E08_255,1_S09E08_255_u,"No, pinch me!",0:2.753,AMY,BBT,1.0,ILL,Frustration,Excitement,4.0,7.0
1_S09E10_065,1_S09E10_065_u,"I told you if we were patient, he'd figure it out for himself.",0:3.17,PENNY,BBT,1.0,PRO,Ridicule,Neutral,3.0,6.0
1_S09E10_208,1_S09E10_208_u,Nobody knows. That's why he's number one.,0:3.369999,PENNY,BBT,1.0,PRO,Frustration,Happiness,4.0,7.0
1_S09E11_045,1_S09E11_045_u,"Oh, that's nice. Put that on her cake.",0:4.270999,PENNY,BBT,1.0,PRO,Disgust,Happiness,3.0,8.0
1_S09E12_369,1_S09E12_369_u,"Yeah, he's as real as the fine I get when I use too much toilet paper.",0:5.756,PENNY,BBT,1.0,LIK,Frustration,Happiness,2.0,8.0
1_S09E13_024,1_S09E13_024_u,Glad to hear it.,0:3.503,HOWARD,BBT,1.0,ILL,Disgust,Happiness,3.0,7.0
1_S09E14_045,1_S09E14_045_u,Really? The old Asian man is not your Meemaw?,0:1.968,LEONARD,BBT,1.0,EMB,Frustration,Surprise,3.0,8.0
1_S09E14_455,1_S09E14_455_u,"He never disappoints, does he?",0:5.605,LEONARD,BBT,1.0,ILL,Disgust,Happiness,4.0,6.0
1_S09E16_101,1_S09E16_101_u,"Relax, there's room for two babies in this group.",0:2.836000,LEONARD,BBT,1.0,ILL,Ridicule,Neutral,4.0,6.0
1_S09E16_189,1_S09E16_189_u,Maybe you should get a new doctor.,0:3.235999,AMY,BBT,1.0,PRO,Frustration,Neutral,4.0,7.0
1_S09E18_033,1_S09E18_033_u,Oh. Is the impression that your first name is Pee-Wee?,0:3.135999,HOWARD,BBT,1.0,PRO,Ridicule,Surprise,3.0,7.0
1_S09E18_357,1_S09E18_357_u,Is there a switch on the back of his neck we don't know about?,0:4.204,LEONARD,BBT,1.0,PRO,Ridicule,Surprise,4.0,8.0
1_S09E19_044,1_S09E19_044_u,so we brought you some lunch and we are gonna go look for 'em.,0:3.502999,PENNY,BBT,1.0,PRO,Ridicule,Neutral,3.0,6.0
1_S09E20_127,1_S09E20_127_u,I'm surprised he let us conceive without him.,0:3.503,HOWARD,BBT,1.0,PRO,Frustration,Surprise,2.0,7.0
1_S09E20_156,1_S09E20_156_u,Astronauts saw him carrying that.,0:2.968999,HOWARD,BBT,1.0,ILL,Frustration,Neutral,3.0,7.0
1_S09E20_179,1_S09E20_179_u,No. You'll wish it would kill you.,0:1.834999,LEONARD,BBT,1.0,PRO,Ridicule,Neutral,3.0,7.0
1_S09E20_237,1_S09E20_237_u,She's trying to think of something She's never done before. This could take a while.,0:4.771999,AMY,BBT,1.0,ILL,Ridicule,Neutral,3.0,8.0
1_S09E20_354,1_S09E20_354_u,"No, I do, and that's why I hid it.",0:2.535999,LEONARD,BBT,1.0,PRO,Disgust,Neutral,4.0,6.0
1_S09E21_024,1_S09E21_024_u,You mean like through their window from behind a bush?,0:3.403000,LEONARD,BBT,1.0,PRO,Ridicule,Neutral,3.0,7.0
1_S09E21_255,1_S09E21_255_u,Interesting. Maybe my male cycle synced up with raj's actual period.,0:7.807999,HOWARD,BBT,1.0,EMB,Ridicule,Neutral,2.0,8.0
1_S09E21_401,1_S09E21_401_u,Better than watching a guy in a fur cloak Ride a girl's bike? Nope.,0:5.706000,LEONARD,BBT,1.0,PRO,Ridicule,Excitement,2.0,7.0
1_S09E22_015,1_S09E22_015_u,I'm sure that would pair nicely with your fried nuggets of chicken.,0:3.103000,LEONARD,BBT,1.0,ILL,Disgust,Happiness,3.0,6.0
1_S09E22_075,1_S09E22_075_u,Funny how that worked out.,0:1.168000,RAJ,BBT,1.0,PRO,Ridicule,Neutral,3.0,6.0
1_S09E23_017,1_S09E23_017_u,"I thought to myself, ""Venn is he gonna stop talking about this diagram?""",0:3.368999,PENNY,BBT,1.0,PRO,Frustration,Neutral,4.0,6.0
1_S09E23_102,1_S09E23_102_u,Wow. (clears throat) Didn't even make it out of the parking lot.,0:4.338000,PENNY,BBT,1.0,PRO,Frustration,Surprise,3.0,8.0
1_S09E23_270,1_S09E23_270_u,"So, when the aliens brought you back, they just left the probe in?",0:5.439,LEONARD,BBT,1.0,ILL,Ridicule,Surprise,2.0,7.0
1_S09E23_420,1_S09E23_420_u,Thank you.,0:4.170999,PENNY,BBT,1.0,ILL,Anger,Happiness,3.0,8.0
1_S09E24_014,1_S09E24_014_u,Did she think you were choking or...,0:2.168000,LEONARD,BBT,1.0,PRO,Ridicule,Surprise,3.0,7.0
1_S09E24_152,1_S09E24_152_u,Sure you do.,0:2.868999,OTHER,BBT,1.0,ILL,Frustration,Happiness,3.0,7.0
1_S10E01_197,1_S10E01_197_u,"Yeah, special, like that.",0:3.917,LEONARD,BBT,1.0,ILL,Sadness,Happiness,3.0,7.0
1_S10E01_225,1_S10E01_225_u,"Well, he probably buys his illegal drugs from a local vendor.",0:3.5,OTHER,BBT,1.0,PRO,Ridicule,Neutral,3.0,8.0
1_S10E01_381,1_S10E01_381_u,They're practicing for what's coming later.,0:3.459000,OTHER,BBT,1.0,PRO,Ridicule,Neutral,4.0,7.0
1_S10E01_474,1_S10E01_474_u,Is he? I never noticed.,0:4.084,PENNY,BBT,1.0,ILL,Ridicule,Surprise,4.0,7.0
1_S10E02_101,1_S10E02_101_u,"Why? Because I'm Jewish? That's like me saying, ""Hey, you're Indian. Doesn't your cousin work in a call center?""",0:6.833,HOWARD,BBT,1.0,ILL,Anger,Surprise,3.0,8.0
1_S10E02_123,1_S10E02_123_u,"Oh, my God, it was me, it was me! I'm the one who blabbed she was pregnant!",0:02.417000,PENNY,BBT,0.0,NONE,Fear,Fear,2.0,9.0
1_S10E02_372,1_S10E02_372_u,Would you stop? We're just gonna be on the other side of campus.,0:04.626000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E03_260,1_S10E03_260_u,"I think you were mean before you were pregnant, but it's fine.",0:02.708000,RAJ,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E03_282,1_S10E03_282_u,Sorry! Sorry!,0:04.292000,RAJ,BBT,0.0,NONE,Fear,Fear,3.0,7.0
1_S10E03_311,1_S10E03_311_u,"But let's say you do. And don't say you do, because you don't! Now, wouldn't you think that throwing yourself into your work would be the best way to deal with it?",0:09.709000,LEONARD,BBT,0.0,NONE,Disgust,Disgust,4.0,6.0
1_S10E04_007,1_S10E04_007_u,"Oh, so nothing. Great.",0:3.936,PENNY,BBT,1.0,PRO,Ridicule,Surprise,3.0,7.0
1_S10E04_021,1_S10E04_021_u,"And we live with Sheldon, so the word ""inconvenience"" has really lost all meaning.",0:04.101000,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E04_082,1_S10E04_082_u,That's a good question. Maybe just don't come over.,0:03.800000,LEONARD,BBT,0.0,NONE,Disgust,Neutral,4.0,5.0
1_S10E04_105,1_S10E04_105_u,I'm the son of a gynecologist. I could be helpful.,0:02.500000,RAJ,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E04_158,1_S10E04_158_u,I'm trying to think of an answer,0:02.200000,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E04_194,1_S10E04_194_u,"I've never lived with someone, either. This is a lot for me, too.",0:03.500000,AMY,BBT,0.0,NONE,Fear,Fear,4.0,6.0
1_S10E04_238,1_S10E04_238_u,"Well, Sheldon, I really appreciate that, but these things mean more to you than they do to me, so whatever you want.",0:05.369000,AMY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E04_262,1_S10E04_262_u,What if we do this?,0:02.667000,AMY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E04_398,1_S10E04_398_u,"Well, I didn't, and it's your fault.",0:03.067000,AMY,BBT,0.0,NONE,Frustration,Frustration,4.0,6.0
1_S10E04_403,1_S10E04_403_u,The kind who almost put a pillow over your face last night.,0:03.500000,AMY,BBT,0.0,NONE,Anger,Anger,3.0,6.0
1_S10E05_079,1_S10E05_079_u,"Okay. Well, for starters, there's nothing wrong with keeping our toothbrushes in the same holder.",0:06.603000,AMY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E05_120,1_S10E05_120_u,How 'bout we stay here? We don't even have to tell anyone. It'll be like a secret vacation at home.,0:06.837000,HOWARD,BBT,0.0,NONE,Excitement,Neutral,6.0,5.0
1_S10E05_288,1_S10E05_288_u,"I'm in a hot tub with you, so pretty bad.",0:2.768,RAJ,BBT,1.0,ILL,Disgust,Sadness,3.0,7.0
1_S10E06_003,1_S10E06_003_u,I got asked to sign autographs there.,0:01.834000,PENNY,BBT,0.0,NONE,Sadness,Neutral,4.0,5.0
1_S10E06_062,1_S10E06_062_u,I felt a kick. There's a baby in there.,0:05.208000,HOWARD,BBT,0.0,NONE,Happiness,Excitement,7.0,7.0
1_S10E06_091,1_S10E06_091_u,Are you kidding? I once paid $20 for Theo Sassler's signature.,0:03.542000,LEONARD,BBT,0.0,NONE,Surprise,Neutral,6.0,6.0
1_S10E06_166,1_S10E06_166_u,I feel like I'm selling candy so our team can get new uniforms.,0:04,PENNY,BBT,0.0,NONE,Disgust,Disgust,4.0,6.0
1_S10E06_255,1_S10E06_255_u,"Imagine this: you've got the baby in one hand, groceries in the other, and you're thinking, ""How am I gonna open this trunk?""",0:10.042000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,6.0,5.0
1_S10E07_069,1_S10E07_069_u,"(chuckling): Aw, you think you have an audience, that's funny.",0:3.376000,HOWARD,BBT,1.0,PRO,Disgust,Happiness,3.0,8.0
1_S10E07_110,1_S10E07_110_u,"Oh. Well, j-just out of curiosity, what registers as odd to you",0:2.208999,HOWARD,BBT,1.0,ILL,Ridicule,Surprise,4.0,7.0
1_S10E07_140,1_S10E07_140_u,"Oh my God, that's who you look like.",0:2.708000,RAJ,BBT,1.0,PRO,Ridicule,Surprise,4.0,8.0
1_S10E07_163,1_S10E07_163_u,"I'll take that as a ""Yes."" She's secretly been moving your collectibles into storage a little at a time and you haven't noticed.",0:07.792000,HOWARD,BBT,0.0,NONE,Excitement,Neutral,6.0,6.0
1_S10E07_187,1_S10E07_187_u,So why don't they just get more drywall?,0:03.333000,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E07_198,1_S10E07_198_u,"Oh, don't worry, I won't.",0:01.417000,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E07_247,1_S10E07_247_u,"Uh, she's enjoyed living with you. It's called being in love.",0:02.499000,PENNY,BBT,0.0,NONE,Happiness,Happiness,6.0,6.0
1_S10E07_267,1_S10E07_267_u,I told you Penny was hiding his things?! It just came up because we-we were talking about secrets and...,0:06.250000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E08_063,1_S10E08_063_u,You think it would be more difficult than that?,0:4.437999,OTHER,BBT,1.0,PRO,Ridicule,Surprise,4.0,8.0
1_S10E08_131,1_S10E08_131_u,The last green thing I saw you eat was a Skittle.,0:2.768999,LEONARD,BBT,1.0,PRO,Ridicule,Neutral,4.0,7.0
1_S10E08_140,1_S10E08_140_u,"No, she's right. As long as I've known you, you've always been self-conscious",0:04.037000,HOWARD,BBT,0.0,NONE,Disgust,Disgust,4.0,3.0
1_S10E09_066,1_S10E09_066_u,"You know what, I've met Bert. Isn't he an indicator of life on other planets?",0:3.571000,PENNY,BBT,1.0,PRO,Ridicule,Surprise,3.0,7.0
1_S10E09_081,1_S10E09_081_u,Say hello to everybody's little friend-- remote control Stephen Hawking!,0:04.969000,HOWARD,BBT,0.0,NONE,Excitement,Excitement,6.0,7.0
1_S10E09_100,1_S10E09_100_u,It's like scrolling through the emojis on my phone.,0:04.971000,PENNY,BBT,0.0,NONE,Happiness,Neutral,6.0,6.0
1_S10E09_169,1_S10E09_169_u,"I wet the bed until college, but I don't think",0:02.634000,LEONARD,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
1_S10E09_186,1_S10E09_186_u,Let it fly.,0:01.934000,LEONARD,BBT,0.0,NONE,Happiness,Neutral,6.0,6.0
1_S10E09_194,1_S10E09_194_u,with his other foot. Wha--?,0:01.666000,LEONARD,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
1_S10E09_258,1_S10E09_258_u,What is going on? Did you upgrade his software last night?,0:4.07,HOWARD,BBT,1.0,PRO,Ridicule,Surprise,4.0,7.0
1_S10E09_324,1_S10E09_324_u,I think I hate all of you nerds.,0:02.401000,PENNY,BBT,0.0,NONE,Frustration,Frustration,4.0,6.0
1_S10E10_090,1_S10E10_090_u,"Hang on, maybe it's not the worst idea. I mean, he did do a good job taking care of my mother.",0:04.436000,HOWARD,BBT,0.0,NONE,Happiness,Happiness,6.0,5.0
1_S10E10_158,1_S10E10_158_u,I would like to keep... the official flag of our apartment.,0:04.969000,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E10_269,1_S10E10_269_u,"Oh, yeah, I read about that on WhoGivesACrap.com",0:4.504,STUART,BBT,1.0,PRO,Anger,Neutral,3.0,8.0
1_S10E10_376,1_S10E10_376_u,"Well, for me, too. It's not the same with you gone.",0:03.435000,LEONARD,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
1_S10E11_321,1_S10E11_321_u,How many times do I have to say I'm sorry?,0:3.770000,PENNY,BBT,1.0,ILL,Ridicule,Sadness,3.0,8.0
1_S10E12_115,1_S10E12_115_u,Cause at the end I assumed there'd be nurses.,0:2.202,OTHER,BBT,1.0,PRO,Ridicule,Neutral,3.0,8.0
1_S10E13_135,1_S10E13_135_u,"Oh, no. Good game.",0:4.437999,LEONARD,BBT,1.0,ILL,Frustration,Happiness,4.0,7.0
1_S10E14_056,1_S10E14_056_u,And you think we can get those guys to reprogram Sheldon? Cool.,0:4.570999,LEONARD,BBT,1.0,PRO,Ridicule,Neutral,3.0,8.0
1_S10E14_094,1_S10E14_094_u,"Well, when you get the machine, you can find out.",0:3.003,LEONARD,BBT,1.0,PRO,Ridicule,Neutral,3.0,6.0
1_S10E14_476,1_S10E14_476_u,"Oh, so all we need to do is get Sheldon knocked up.",0:3.670999,PENNY,BBT,1.0,PRO,Ridicule,Excitement,3.0,7.0
1_S10E16_009,1_S10E16_009_u,"Aw, look at you watching sports.",0:3.070000,PENNY,BBT,1.0,PRO,Ridicule,Surprise,3.0,8.0
1_S10E17_032,1_S10E17_032_u,"Wait, wait, not shopping for clothes, right? Because look.",0:1.802000,PENNY,BBT,1.0,PRO,Ridicule,Surprise,3.0,6.0
1_S10E17_096,1_S10E17_096_u,"No. Which will make me miserable, which is usually Sheldon's job.",0:3.902999,LEONARD,BBT,1.0,EMB,Frustration,Neutral,3.0,8.0
1_S10E17_125,1_S10E17_125_u,You could charge people money to punch you.,0:3.57,HOWARD,BBT,1.0,EMB,Ridicule,Neutral,3.0,8.0
1_S10E17_287,1_S10E17_287_u,"Yeah, that's working out great for me.",0:2.436000,HOWARD,BBT,1.0,ILL,Disgust,Happiness,3.0,8.0
1_S10E18_164,1_S10E18_164_u,Maybe we should take them both to the park and let them run around together.,0:5.305,HOWARD,BBT,1.0,PRO,Ridicule,Excitement,3.0,8.0
1_S10E18_266,1_S10E18_266_u,Do you actually pay for that haircut?,0:1.702000,PENNY,BBT,1.0,ILL,Ridicule,Surprise,3.0,8.0
1_S10E18_323,1_S10E18_323_u,(sighs) I'll say it again. India.,0:4.071,HOWARD,BBT,1.0,PRO,Frustration,Excitement,2.0,8.0
1_S10E18_391,1_S10E18_391_u,"Oh, great, it'll be easier for you to look up at the stars without a roof over your head.",0:4.872,STUART,BBT,1.0,EMB,Disgust,Happiness,3.0,7.0
1_S10E18_423,1_S10E18_423_u,More reasons for you to stay.,0:2.468999,PENNY,BBT,1.0,PRO,Ridicule,Neutral,3.0,6.0
1_S10E19_015,1_S10E19_015_u,Sure. You're living here for free. I guess I owe you.,0:3.099999,LEONARD,BBT,1.0,EMB,Anger,Excitement,3.0,8.0
1_S10E19_252,1_S10E19_252_u,You sure you don't fit in? You sound like a catty bitch to me.,0:3.539999,HOWARD,BBT,1.0,PRO,Ridicule,Surprise,3.0,8.0
1_S10E21_151,1_S10E21_151_u,"Hey, I already set up Howard and Bernadette. It's your turn to ruin some poor girl's life.",0:5.471999,PENNY,BBT,1.0,EMB,Ridicule,Sadness,2.0,8.0
1_S10E23_165,1_S10E23_165_u,"Oh, sweetie, you might not live that long.",0:3.235999,PENNY,BBT,1.0,PRO,Ridicule,Sadness,3.0,8.0
1_S11E01_100,1_S11E01_100_u,"Okay, you can stop leading with that part of the story.",0:02.640000,AMY,BBT,0.0,NONE,Disgust,Neutral,4.0,5.0
1_S11E01_222,1_S11E01_222_u,"Well, you came to the wrong place.",0:02.860000,STUART,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E01_337,1_S11E01_337_u,"I'm sorry, what?",0:02.540000,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E01_400,1_S11E01_400_u,"Well, Bernadette has to grow a baby inside of her, and Amy has to marry one. My life is great.",0:5.199999,PENNY,BBT,1.0,EMB,Ridicule,Happiness,3.0,8.0
1_S11E02_008,1_S11E02_008_u,"Yeah, I'm still mad at you. (clears throat)",0:02.670000,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E02_049,1_S11E02_049_u,Thank you for having me. Whoa... (chuckles) Could never get used to hearing myself in headphones. Is that really how I sound?,0:06.030000,LEONARD,BBT,0.0,NONE,Excitement,Excitement,6.0,6.0
1_S11E02_127,1_S11E02_127_u,Fingers crossed.,0:01.800000,AMY,BBT,0.0,NONE,Surprise,Happiness,6.0,7.0
1_S11E02_205,1_S11E02_205_u,"Well, that's why I brought the bottle.",0:03.060000,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E03_006,1_S11E03_006_u,I thought we agreed on June 15.,0:02.500000,AMY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E03_169,1_S11E03_169_u,"Me, either. What a small world.",0:02.530000,RAJ,BBT,0.0,NONE,Surprise,Surprise,6.0,7.0
1_S11E03_220,1_S11E03_220_u,"Honey, that's you.",0:01.430000,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E03_250,1_S11E03_250_u,Why should I bow out?,0:01.670000,STUART,BBT,0.0,NONE,Frustration,Frustration,4.0,6.0
1_S11E03_321,1_S11E03_321_u,What's to worry about?,0:01.430000,OTHER,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E03_365,1_S11E03_365_u,"Oh, my God, what happened?!",0:02.200000,AMY,BBT,0.0,NONE,Fear,Fear,4.0,7.0
1_S11E04_005,1_S11E04_005_u,"Oh, that's sweet, but today is all about you.",0:04.610000,HOWARD,BBT,0.0,NONE,Happiness,Happiness,7.0,7.0
1_S11E04_016,1_S11E04_016_u,"Well, it's a boy.",0:02.130000,OTHER,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E04_067,1_S11E04_067_u,"Nah, it's worth it.",0:01.760000,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E04_162,1_S11E04_162_u,It's more of a tradition.,0:02.360000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E04_273,1_S11E04_273_u,"Thanks for trying, but you're not gonna be able to cheer me up.",0:03.610000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E04_315,1_S11E04_315_u,Okay... I'm pretty sure they're not best friends.,0:06.680000,AMY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E04_347,1_S11E04_347_u,What about people distracted by irritating passengers?,0:4.82,HOWARD,BBT,1.0,ILL,Frustration,Surprise,3.0,7.0
